processor_model,manufacturer,socket_type,core_count,clock_speed,power_consumption,price,release_date,architecture,is_discontinued
i3,AMD,LGA1151,12,2.85,119,842.71 zł,9/11/2020,x86,false
i7,Intel,AM4,5,4.69,93,670.88 zł,2/21/2019,x86,true
Ryzen 7,AMD,LGA1151,8,2.5,18,50.33 zł,8/13/2016,x86,true
i3,AMD,AM4,12,2.58,12,838.99 zł,10/18/2016,x86-64,true
Ryzen 7,AMD,LGA1151,2,2.13,145,319.96 zł,11/17/2014,x86,true
Ryzen 5,Intel,AM4,8,1.42,19,618.46 zł,10/23/2014,x86,true
i7,Intel,LGA1151,13,4.63,49,780.64 zł,9/29/2021,x86-64,false
Ryzen 7,AMD,AM4,9,1.93,34,428.68 zł,12/6/2018,x86-64,true
i7,Intel,LGA1151,8,4.92,155,699.44 zł,6/3/2018,x86-64,true
Ryzen 7,AMD,AM4,14,1.42,189,940.05 zł,8/22/2013,x86-64,false
i7,AMD,AM4,15,2.19,33,573.37 zł,9/27/2012,x86,false
i5,AMD,LGA1151,12,1.63,187,509.79 zł,4/30/2020,x86,false
i3,Intel,LGA1151,7,3.85,90,406.58 zł,11/5/2016,x86-64,true
Ryzen 7,Intel,AM4,5,3.99,107,588.84 zł,3/13/2018,x86-64,true
Ryzen 5,Intel,LGA1151,9,2.66,122,616.15 zł,5/27/2019,x86,false
i5,AMD,LGA1151,6,1.84,149,384.82 zł,12/14/2018,x86,true
i5,Intel,LGA1151,10,4.2,80,792.17 zł,3/28/2020,x86,false
i5,Intel,AM4,14,4.29,179,968.44 zł,4/11/2013,x86,true
i5,AMD,LGA1151,14,1.05,52,489.56 zł,8/23/2022,x86,false
Ryzen 7,Intel,AM4,9,1.04,152,266.7 zł,5/18/2013,x86,true
Ryzen 7,Intel,LGA1151,14,3.73,50,136.02 zł,6/25/2021,x86,false
Ryzen 5,AMD,AM4,7,2.12,27,682.8 zł,6/3/2012,x86-64,true
i5,AMD,LGA1151,11,2.11,46,978.7 zł,5/19/2010,x86-64,false
i3,AMD,AM4,4,3.98,198,720.38 zł,12/7/2019,x86,true
Ryzen 7,Intel,AM4,3,3.36,149,221.36 zł,2/24/2017,x86-64,true
i5,AMD,AM4,11,2.27,24,138.2 zł,10/2/2016,x86,false
Ryzen 7,Intel,AM4,10,1.14,199,53.04 zł,8/13/2014,x86,false
i7,AMD,LGA1151,4,3.91,91,358.66 zł,6/19/2011,x86-64,false
Ryzen 7,Intel,LGA1151,13,4.19,178,366.16 zł,9/28/2012,x86,true
i7,AMD,AM4,11,4.49,92,79.83 zł,6/6/2022,x86-64,false
i3,AMD,LGA1151,15,3.39,150,190.91 zł,6/19/2011,x86-64,true
i7,Intel,LGA1151,12,1.56,53,876.82 zł,11/14/2012,x86,true
Ryzen 7,AMD,LGA1151,13,3.7,40,746.64 zł,1/27/2019,x86,false
i7,AMD,AM4,11,3.19,122,584.65 zł,3/26/2018,x86-64,true
Ryzen 5,AMD,AM4,7,3.21,81,605.66 zł,6/5/2015,x86,true
i7,AMD,LGA1151,10,3.93,19,815.76 zł,8/29/2022,x86,true
Ryzen 7,Intel,LGA1151,16,1.25,144,673.97 zł,1/11/2017,x86,true
i7,AMD,AM4,15,4.09,28,946.06 zł,10/9/2014,x86,true
i5,AMD,AM4,15,3.8,175,664.14 zł,4/26/2014,x86,false
i7,Intel,LGA1151,16,4.82,169,749.93 zł,4/17/2012,x86,true
Ryzen 5,AMD,AM4,4,2.57,24,373.77 zł,5/16/2013,x86,true
Ryzen 5,Intel,LGA1151,10,2.56,144,274.1 zł,1/7/2013,x86,false
i3,AMD,AM4,10,4.78,170,114.68 zł,11/6/2017,x86,false
i3,AMD,AM4,16,2.88,33,214.32 zł,2/10/2015,x86-64,true
Ryzen 7,Intel,LGA1151,6,1.17,127,135.24 zł,12/24/2020,x86,false
i5,AMD,AM4,7,4.3,103,404.33 zł,7/22/2014,x86,true
Ryzen 7,AMD,LGA1151,14,1.63,95,994.28 zł,8/24/2014,x86,true
i7,Intel,AM4,8,4.49,130,530.21 zł,1/3/2010,x86,false
i7,Intel,AM4,5,3.43,136,191.11 zł,6/10/2016,x86,false
Ryzen 5,AMD,AM4,15,4.35,65,602.53 zł,3/24/2011,x86-64,true
Ryzen 7,Intel,AM4,10,1.38,184,727.67 zł,3/2/2013,x86,true
i5,Intel,AM4,16,2.07,151,400.83 zł,10/3/2021,x86,true
i7,AMD,AM4,13,2.52,117,974.92 zł,7/14/2020,x86-64,false
i7,AMD,LGA1151,4,3.24,165,959.93 zł,3/1/2014,x86-64,false
i5,Intel,AM4,8,3.89,173,322.2 zł,3/22/2011,x86,true
i5,AMD,LGA1151,8,4.51,16,362.6 zł,1/10/2018,x86-64,false
i5,Intel,AM4,16,1.12,83,511.24 zł,1/12/2015,x86,true
i3,AMD,AM4,4,4.16,195,597.69 zł,2/28/2012,x86-64,false
i5,Intel,LGA1151,10,3.33,101,144.1 zł,5/6/2016,x86,false
Ryzen 7,Intel,AM4,8,2.06,136,344.0 zł,2/26/2012,x86-64,true
Ryzen 5,Intel,LGA1151,9,1.28,130,634.12 zł,2/20/2019,x86,true
Ryzen 5,Intel,AM4,5,2,109,717.22 zł,4/24/2016,x86-64,true
Ryzen 7,AMD,AM4,5,4.13,147,199.46 zł,4/15/2012,x86-64,true
Ryzen 7,AMD,AM4,8,1.21,133,568.66 zł,4/7/2020,x86-64,false
Ryzen 5,Intel,AM4,5,3.94,197,429.46 zł,3/21/2012,x86-64,true
i5,AMD,LGA1151,8,4.02,17,104.15 zł,6/18/2010,x86-64,false
i5,Intel,AM4,9,3.84,160,443.95 zł,3/20/2010,x86,true
i3,AMD,AM4,2,3.36,170,888.81 zł,2/10/2014,x86-64,false
i5,AMD,AM4,10,1.83,162,648.44 zł,4/5/2014,x86,true
i5,AMD,AM4,15,1.47,121,895.89 zł,10/31/2013,x86-64,false
i5,AMD,AM4,6,3.03,141,808.43 zł,10/29/2012,x86,false
i5,AMD,LGA1151,5,2.77,27,382.56 zł,9/5/2020,x86-64,false
i3,AMD,AM4,8,1.7,89,561.36 zł,12/26/2011,x86-64,false
i7,AMD,AM4,16,4.74,24,757.12 zł,4/13/2016,x86,false
i5,Intel,LGA1151,14,2.54,33,52.43 zł,2/14/2020,x86-64,true
Ryzen 7,AMD,AM4,11,1.42,170,362.16 zł,9/1/2019,x86-64,true
i7,AMD,LGA1151,16,1.46,36,552.54 zł,3/22/2019,x86,false
i3,Intel,LGA1151,11,2.11,68,749.96 zł,2/20/2021,x86,true
Ryzen 7,Intel,LGA1151,14,4.3,159,976.4 zł,2/2/2021,x86-64,true
i3,AMD,AM4,13,3.56,178,237.07 zł,9/21/2018,x86,true
i5,Intel,LGA1151,9,3.97,142,209.36 zł,12/2/2020,x86-64,true
i3,AMD,AM4,9,2.68,58,529.03 zł,12/19/2015,x86,false
Ryzen 7,Intel,AM4,2,4.3,25,796.82 zł,12/7/2019,x86,true
i3,AMD,LGA1151,16,3.89,85,885.25 zł,1/23/2018,x86,true
Ryzen 7,Intel,LGA1151,11,4.82,131,949.55 zł,11/9/2021,x86,false
i7,AMD,LGA1151,12,3.01,16,435.18 zł,10/19/2015,x86,true
Ryzen 7,Intel,LGA1151,5,1.11,51,506.73 zł,4/10/2014,x86-64,false
Ryzen 7,Intel,AM4,5,4.23,23,646.17 zł,9/22/2014,x86-64,false
Ryzen 7,Intel,AM4,9,2.02,177,934.21 zł,9/4/2010,x86,true
i5,Intel,AM4,6,1.15,76,55.68 zł,8/14/2015,x86,true
Ryzen 7,AMD,LGA1151,16,3.85,131,228.06 zł,1/21/2016,x86-64,false
i7,AMD,AM4,9,2.7,136,532.68 zł,9/11/2010,x86-64,false
i5,Intel,LGA1151,2,3.28,46,586.34 zł,8/5/2012,x86,true
i3,AMD,LGA1151,16,1.22,49,983.42 zł,3/20/2014,x86-64,false
Ryzen 7,AMD,LGA1151,8,2.81,76,383.38 zł,3/30/2013,x86,false
Ryzen 5,AMD,AM4,13,1.31,95,656.27 zł,7/24/2011,x86,true
Ryzen 7,Intel,AM4,11,1.57,68,491.16 zł,11/16/2016,x86-64,true
i7,Intel,LGA1151,14,1.44,32,173.16 zł,9/3/2020,x86,false
Ryzen 5,Intel,AM4,8,4.56,155,930.37 zł,8/21/2010,x86,true
i3,Intel,AM4,5,2.54,122,798.18 zł,4/21/2010,x86,false
Ryzen 7,AMD,AM4,16,1.72,25,462.39 zł,5/10/2016,x86-64,false
i5,Intel,AM4,15,2.01,30,904.61 zł,5/20/2021,x86,true
Ryzen 5,AMD,AM4,2,3.84,200,988.37 zł,3/19/2013,x86-64,true
Ryzen 7,Intel,LGA1151,13,2.34,28,120.02 zł,10/17/2021,x86,true
Ryzen 7,Intel,AM4,12,1.02,58,792.92 zł,9/1/2012,x86,false
Ryzen 5,Intel,LGA1151,5,4.11,182,333.07 zł,12/5/2011,x86,false
i5,Intel,LGA1151,7,2.11,111,852.81 zł,9/5/2020,x86-64,false
i3,Intel,AM4,11,4.49,34,747.71 zł,1/4/2016,x86-64,false
Ryzen 5,Intel,AM4,7,4.35,134,989.42 zł,8/24/2022,x86-64,false
i7,Intel,LGA1151,6,2.69,102,96.52 zł,10/10/2019,x86,true
Ryzen 5,Intel,AM4,7,1.1,183,575.55 zł,5/28/2011,x86-64,false
i7,Intel,AM4,14,3.95,115,571.36 zł,7/12/2022,x86-64,true
Ryzen 7,Intel,LGA1151,16,4.45,161,713.36 zł,4/28/2011,x86,true
i5,Intel,AM4,8,4.11,137,331.79 zł,3/30/2010,x86-64,false
i7,AMD,AM4,10,4.51,141,251.87 zł,4/17/2017,x86-64,false
Ryzen 7,AMD,AM4,4,1.32,173,790.57 zł,12/24/2017,x86,true
i7,Intel,LGA1151,4,4.65,146,617.69 zł,4/23/2015,x86-64,false
Ryzen 7,Intel,AM4,5,2.96,161,64.26 zł,1/2/2015,x86-64,false
Ryzen 5,AMD,LGA1151,6,3.33,103,227.5 zł,12/5/2018,x86,false
Ryzen 7,AMD,AM4,4,2.88,84,719.01 zł,6/2/2017,x86,true
i3,Intel,LGA1151,9,1.2,199,732.09 zł,5/29/2020,x86,true
i3,AMD,LGA1151,15,3.87,171,50.91 zł,11/8/2019,x86,true
i5,AMD,AM4,14,2.44,126,411.8 zł,10/15/2015,x86-64,false
i5,Intel,AM4,5,3.85,190,495.45 zł,9/14/2018,x86-64,false
i7,AMD,LGA1151,4,2.01,127,964.7 zł,5/27/2014,x86,false
Ryzen 7,AMD,AM4,10,4.13,122,703.62 zł,6/14/2018,x86,true
Ryzen 7,AMD,LGA1151,2,3.08,56,281.61 zł,5/22/2013,x86,true
i5,Intel,LGA1151,11,4.84,181,808.62 zł,12/28/2012,x86-64,false
i7,Intel,AM4,6,4.74,53,804.74 zł,5/28/2015,x86-64,true
i7,Intel,LGA1151,4,2,71,920.62 zł,7/4/2022,x86,true
Ryzen 5,Intel,LGA1151,3,2.67,64,193.33 zł,7/9/2017,x86-64,false
i3,AMD,LGA1151,11,2.15,149,835.16 zł,12/3/2020,x86,false
i7,AMD,AM4,16,2.27,78,666.95 zł,12/19/2018,x86,true
i3,Intel,AM4,5,1.77,13,848.83 zł,10/6/2013,x86-64,false
Ryzen 7,AMD,AM4,13,2.51,152,609.58 zł,9/2/2020,x86,false
Ryzen 5,AMD,AM4,15,2.48,57,714.25 zł,3/13/2013,x86-64,false
i3,AMD,AM4,11,3.94,132,364.42 zł,8/30/2016,x86,false
Ryzen 7,AMD,AM4,11,1.88,25,965.9 zł,6/5/2022,x86-64,false
Ryzen 7,Intel,LGA1151,4,1.6,43,729.24 zł,11/22/2013,x86,true
i7,AMD,LGA1151,8,2,198,958.38 zł,7/15/2016,x86,true
i3,AMD,LGA1151,11,4.17,12,716.41 zł,7/15/2015,x86,true
i5,AMD,AM4,13,2.85,175,580.98 zł,9/7/2020,x86-64,true
i3,Intel,LGA1151,14,3.32,154,702.57 zł,9/18/2015,x86-64,false
Ryzen 5,Intel,AM4,7,1.38,125,938.04 zł,10/2/2021,x86,true
Ryzen 5,AMD,LGA1151,5,3.22,116,575.28 zł,3/13/2021,x86-64,true
i7,Intel,LGA1151,6,1.37,131,279.75 zł,2/19/2019,x86,true
i5,Intel,LGA1151,13,2.23,96,69.19 zł,5/13/2010,x86,true
i7,AMD,LGA1151,16,3.66,88,926.71 zł,4/16/2010,x86,true
i3,AMD,LGA1151,5,2.44,31,304.01 zł,1/7/2017,x86,false
i3,AMD,LGA1151,9,4.02,76,654.16 zł,9/1/2010,x86,false
Ryzen 7,AMD,AM4,4,4.58,139,265.92 zł,4/2/2021,x86,true
i7,Intel,LGA1151,3,3.13,38,932.74 zł,3/14/2020,x86,true
i7,Intel,LGA1151,5,2.95,49,216.25 zł,7/9/2015,x86-64,false
Ryzen 7,Intel,LGA1151,10,4.77,135,701.67 zł,3/4/2016,x86-64,true
i5,AMD,LGA1151,13,4.67,33,857.76 zł,4/18/2015,x86,false
i5,Intel,AM4,12,3.59,139,920.0 zł,2/7/2016,x86,true
Ryzen 5,AMD,LGA1151,12,4.15,65,709.62 zł,1/25/2020,x86,true
Ryzen 7,AMD,AM4,15,4.21,187,131.77 zł,12/17/2014,x86-64,false
i5,AMD,LGA1151,4,1.69,91,995.08 zł,9/9/2011,x86-64,true
i7,Intel,AM4,13,3.35,94,118.9 zł,4/25/2020,x86-64,false
i7,AMD,LGA1151,13,1.59,144,438.5 zł,3/25/2013,x86-64,false
Ryzen 5,Intel,LGA1151,6,2.32,88,238.66 zł,5/7/2017,x86-64,false
i7,Intel,LGA1151,15,1.29,183,368.29 zł,3/14/2021,x86-64,false
i3,AMD,AM4,2,3.03,112,397.66 zł,9/24/2011,x86,false
i7,AMD,LGA1151,7,1.95,148,163.83 zł,11/10/2020,x86,false
Ryzen 5,AMD,LGA1151,10,4.68,16,669.26 zł,7/17/2012,x86-64,true
i3,Intel,AM4,11,1.67,14,792.71 zł,4/25/2016,x86,true
Ryzen 5,Intel,AM4,11,3.6,42,337.66 zł,10/9/2019,x86,true
Ryzen 5,Intel,AM4,7,3.97,11,655.96 zł,10/13/2010,x86,false
Ryzen 7,AMD,AM4,8,4.45,125,561.95 zł,1/2/2012,x86-64,true
Ryzen 5,Intel,LGA1151,5,1.68,63,633.39 zł,11/17/2021,x86,false
i7,Intel,AM4,9,1.93,173,182.31 zł,10/14/2020,x86-64,true
i7,AMD,AM4,12,4.12,175,836.93 zł,9/26/2018,x86-64,true
Ryzen 5,Intel,AM4,16,1.73,112,331.56 zł,10/12/2018,x86-64,false
i5,Intel,AM4,7,1.87,77,61.5 zł,7/11/2013,x86-64,true
i7,Intel,AM4,8,3.98,89,990.93 zł,3/16/2016,x86,true
i7,Intel,LGA1151,16,3.41,130,602.68 zł,11/14/2020,x86-64,true
i3,AMD,AM4,3,2.28,84,431.96 zł,1/27/2021,x86,false
Ryzen 5,Intel,LGA1151,5,1.37,31,233.16 zł,1/26/2015,x86,true
i3,AMD,AM4,16,2.78,33,329.89 zł,3/15/2018,x86,false
Ryzen 7,Intel,LGA1151,4,2.92,133,343.54 zł,10/3/2014,x86-64,false
Ryzen 7,Intel,AM4,2,2.19,103,686.06 zł,3/17/2021,x86-64,true
Ryzen 7,AMD,AM4,2,1.42,169,442.64 zł,3/25/2012,x86,true
i3,Intel,LGA1151,13,2.2,131,496.99 zł,12/24/2015,x86-64,false
i5,AMD,LGA1151,7,4.98,76,635.65 zł,2/20/2014,x86,false
Ryzen 7,AMD,LGA1151,4,2.79,200,330.44 zł,6/6/2011,x86-64,false
i5,AMD,AM4,15,4.17,68,359.5 zł,10/17/2017,x86-64,false
Ryzen 7,AMD,LGA1151,11,3.14,128,110.01 zł,7/25/2020,x86,false
Ryzen 7,Intel,AM4,16,3.49,199,574.89 zł,1/2/2013,x86-64,true
Ryzen 7,Intel,LGA1151,16,2.62,124,703.44 zł,5/11/2017,x86-64,true
i3,Intel,AM4,13,4.78,136,948.25 zł,7/25/2018,x86,true
i5,AMD,LGA1151,5,2.47,192,906.26 zł,11/10/2018,x86-64,true
Ryzen 5,Intel,AM4,11,2.06,28,318.22 zł,1/9/2010,x86-64,true
i3,AMD,AM4,13,3.68,197,403.68 zł,1/20/2019,x86,true
Ryzen 5,AMD,AM4,13,1.22,36,251.65 zł,1/13/2021,x86,true
i5,AMD,LGA1151,12,2.19,155,945.97 zł,9/27/2020,x86-64,true
i7,Intel,AM4,3,2.77,192,331.69 zł,1/5/2016,x86,true
i5,AMD,AM4,7,2.19,75,69.51 zł,5/4/2011,x86-64,true
i5,Intel,AM4,9,4.02,114,678.15 zł,12/26/2010,x86,false
Ryzen 7,AMD,AM4,6,4.9,65,988.12 zł,10/3/2019,x86-64,false
i7,Intel,AM4,3,3.6,114,600.35 zł,3/24/2017,x86,true
i3,Intel,AM4,12,2.17,155,355.19 zł,4/5/2018,x86,true
i3,Intel,LGA1151,14,3.57,44,412.54 zł,11/13/2017,x86,true
i3,Intel,LGA1151,11,3,163,208.94 zł,1/29/2011,x86-64,false
i5,Intel,LGA1151,8,2.67,174,969.25 zł,4/25/2015,x86,false
Ryzen 7,AMD,LGA1151,8,2.04,64,996.09 zł,12/9/2011,x86-64,false
Ryzen 7,AMD,LGA1151,16,3.04,136,984.73 zł,9/6/2011,x86-64,true
Ryzen 7,Intel,LGA1151,13,4.82,72,129.84 zł,2/19/2017,x86-64,true
i3,Intel,LGA1151,15,1.78,82,309.05 zł,3/27/2011,x86-64,true
Ryzen 7,Intel,AM4,8,2.42,173,778.31 zł,11/20/2021,x86,false
i7,AMD,AM4,10,2.7,54,564.17 zł,1/4/2010,x86-64,false
i7,Intel,AM4,5,1.78,119,163.04 zł,10/15/2016,x86-64,false
i3,AMD,LGA1151,9,4.16,125,709.15 zł,7/29/2010,x86,true
Ryzen 5,Intel,LGA1151,16,2.88,191,527.02 zł,10/30/2011,x86,false
Ryzen 5,AMD,LGA1151,12,1.29,23,700.21 zł,11/11/2018,x86,true
Ryzen 5,Intel,AM4,5,2.6,164,692.64 zł,3/10/2010,x86,true
Ryzen 5,Intel,LGA1151,12,3.93,27,60.89 zł,7/2/2011,x86-64,true
i5,AMD,LGA1151,4,1.9,91,898.44 zł,2/15/2011,x86,true
Ryzen 5,Intel,AM4,13,3.37,65,55.52 zł,7/25/2020,x86-64,false
Ryzen 5,Intel,AM4,16,1.01,196,795.4 zł,5/3/2021,x86,true
Ryzen 5,Intel,LGA1151,13,2.83,196,418.28 zł,7/15/2018,x86,false
i7,AMD,LGA1151,11,2.56,190,152.39 zł,4/19/2012,x86-64,true
Ryzen 7,Intel,AM4,3,1.82,30,762.55 zł,1/8/2011,x86,true
i3,AMD,LGA1151,5,4,152,970.74 zł,10/24/2016,x86-64,true
i3,Intel,LGA1151,16,4.24,120,958.03 zł,9/7/2014,x86,false
i3,AMD,AM4,4,4.57,21,867.72 zł,5/7/2013,x86-64,true
i7,Intel,AM4,15,2.75,10,124.76 zł,5/5/2013,x86,true
i5,Intel,AM4,2,3.11,115,154.48 zł,5/31/2013,x86-64,false
i5,AMD,AM4,4,4.64,131,665.18 zł,7/13/2017,x86-64,false
i7,Intel,AM4,3,3.27,74,857.3 zł,8/9/2011,x86,true
Ryzen 7,AMD,LGA1151,8,3.25,188,750.69 zł,5/8/2021,x86,true
i7,Intel,AM4,8,1.13,101,52.45 zł,8/30/2018,x86,false
i7,AMD,AM4,4,4.17,31,462.61 zł,5/5/2012,x86-64,true
Ryzen 7,AMD,LGA1151,16,2.72,168,785.83 zł,8/22/2015,x86,true
i3,AMD,AM4,13,2.1,102,648.13 zł,11/22/2010,x86,true
i5,Intel,LGA1151,9,1.15,166,780.34 zł,11/19/2013,x86-64,false
Ryzen 5,AMD,AM4,14,2.46,36,735.82 zł,8/20/2019,x86,false
